conceptId,conceptName
35786592,100 ML clopidogrel 15 MG/ML Oral Solution
35786710,100 ML clopidogrel 15 MG/ML Oral Solution by Drug Tariff Special Order
21088717,100 ML clopidogrel 15 MG/ML Oral Suspension
35787244,100 ML clopidogrel 15 MG/ML Oral Suspension by Drug Tariff Special Order
21177192,100 ML clopidogrel 1 MG/ML Oral Suspension
35787064,100 ML clopidogrel 1 MG/ML Oral Suspension by Drug Tariff Special Order
21079180,150 ML clopidogrel 15 MG/ML Oral Solution
35787975,150 ML clopidogrel 15 MG/ML Oral Solution by Drug Tariff Special Order
21077428,1 ML clopidogrel 15 MG/ML Oral Solution
35776115,1 ML clopidogrel 15 MG/ML Oral Solution by Drug Tariff Special Order
21077429,1 ML clopidogrel 15 MG/ML Oral Suspension
35777526,1 ML clopidogrel 15 MG/ML Oral Suspension by Drug Tariff Special Order
36073759,1 ML clopidogrel 1 MG/ML Oral Solution
21106783,1 ML clopidogrel 1 MG/ML Oral Suspension
35777525,1 ML clopidogrel 1 MG/ML Oral Suspension by Drug Tariff Special Order
21047899,1 ML clopidogrel 5 MG/ML Oral Suspension
21028245,1 ML clopidogrel 6 MG/ML Oral Suspension
40718320,1 ML clopidogrel 7 MG/ML Oral Suspension
42949886,Aspirin 100 MG / clopidogrel 75 MG [ACLORIN]
42949855,Aspirin 100 MG / clopidogrel 75 MG [ANAVIX DUO]
42949874,Aspirin 100 MG / clopidogrel 75 MG [ARIGREL]
42949875,Aspirin 100 MG / clopidogrel 75 MG [ASGREL]
42949866,Aspirin 100 MG / clopidogrel 75 MG [ASPIDO]
42949876,Aspirin 100 MG / clopidogrel 75 MG [ASPIGEL]
42949854,Aspirin 100 MG / clopidogrel 75 MG [ASPIREL DUO]
2072032,aspirin 100 MG / clopidogrel 75 MG [CLASPIN]
42949887,Aspirin 100 MG / clopidogrel 75 MG [CLAVIXIN DUO]
42949856,Aspirin 100 MG / clopidogrel 75 MG [CLEANVIX DUO]
2933755,aspirin 100 MG / clopidogrel 75 MG [Cloap]
42949857,Aspirin 100 MG / clopidogrel 75 MG [CLOAPIN]
42949888,Aspirin 100 MG / clopidogrel 75 MG [CLOBONS-A]
42949889,Aspirin 100 MG / clopidogrel 75 MG [CLOGREEN]
42949867,Aspirin 100 MG / clopidogrel 75 MG [CLOGREL A]
42949858,Aspirin 100 MG / clopidogrel 75 MG [CLOMIX]
43287520,Aspirin 100 MG / clopidogrel 75 MG [Clopidogrel Plus Aspirin]
42949877,Aspirin 100 MG / clopidogrel 75 MG [CLOPINA PLUS]
2013349,aspirin 100 MG / clopidogrel 75 MG [CLOPIO-A]
42949878,Aspirin 100 MG / clopidogrel 75 MG [CLOPIREL DUO]
42949859,Aspirin 100 MG / clopidogrel 75 MG [CLOPIRIN]
42949868,Aspirin 100 MG / clopidogrel 75 MG [CLOREN]
42949869,Aspirin 100 MG / clopidogrel 75 MG [CLOSONE]
42949879,Aspirin 100 MG / clopidogrel 75 MG [CLOSPIRIN]
42949870,Aspirin 100 MG / clopidogrel 75 MG [CLOVEIN DUO]
42949880,Aspirin 100 MG / clopidogrel 75 MG [CLOZEX PLUS]
2013350,aspirin 100 MG / clopidogrel 75 MG [CLPIDO-A]
42949871,Aspirin 100 MG / clopidogrel 75 MG [CLPIRIN]
43254923,Aspirin 100 MG / clopidogrel 75 MG [Coplavix]
42949890,Aspirin 100 MG / clopidogrel 75 MG [COPREGREL]
42949891,Aspirin 100 MG / clopidogrel 75 MG [CUROVIX DUO]
2933754,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet
2933727,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 100
2933726,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 100 by Apotex
2933725,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 112
2933724,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 112 by Apotex
2933743,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 14
2933742,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 14 by Apotex
2933751,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 2
2933741,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 28
2933723,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 280
2933721,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 280 by APO
2933722,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 280 by Apotex
2933740,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 28 by Apotex
2933750,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 2 by Apotex
2933739,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 30
2933737,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 30 by APO
2933738,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 30 by Apotex
2933749,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 4
2933748,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 4 by Apotex
2933736,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 50
2933735,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 50 by Apotex
2933734,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 56
2933733,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 56 by Apotex
2933746,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 7
2933744,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 7 by Apotex
2933732,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 84
2933731,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 84 by Apotex
2933729,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 98
